F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
9.47,-259.41,-9.43,1531.14,Medium,Rest,5.13,-17.6,-256.42,-908.26,-140.78,9,12,8.76,7330.5,7.94,0
8.19,-173.91,-3.98,2888.67,Medium,Europe,3.41,-23.58,-193.3,-1891.76,-207.91,12,6,3.54,9637.26,4.52,0
7.78,-337.11,-14.21,3126.84,High,USA,2.62,-15.56,-302.98,393.72,-55.81,9,6,21.48,10166.79,1.06,3634.18
11.7,-406.77,-7.88,1284.63,Medium,UK,2.9,-18.56,-291.34,-90.28,-225.39,6,4,14.28,20481.33,28.04,486.4
15.18,-236.04,-5.31,3214.11,Low,USA,0.43,-20.98,-240.32,-1458.62,-220.02,21,6,10.41,8982.12,2.44,33.15
7.38,-418.02,-9.49,2798.01,Medium,UK,6.13,-14.98,-247.46,-1261.82,-164.49,12,10,7.35,-5891.4,2.04,575.19
13.96,-369.21,-1.39,2860.32,Very low,UK,4.89,-16.16,-285.5,-1444.04,-204.29,12,8,18.12,22974.54,1.7,423.69
7.75,-419.94,-10,1994.04,Very high,UK,17.38,-33.14,-170.64,537.04,-178.1,6,6,21.12,14639.37,0.92,3293.38
11.2,-217.59,-11.86,2131.86,Low,Rest,5.52,-21.8,-205.2,-954.14,-233.46,6,10,19.65,-5853.12,0.04,0
6.39,-327.03,-8.99,2662.71,Very high,Rest,3.49,-19.46,-247.54,-446.1,-131.64,21,10,31.17,-8627.91,0.76,2389.1
12.25,-212.07,-6.33,3852.36,Very high,Europe,3.58,-19.7,-269.7,-1332.82,-158.34,12,12,22.02,120.09,28.82,1122.22
9.9,-161.07,-12.67,3399.6,High,Rest,5.69,-27.1,-235.42,-2353.54,-289.74,18,8,10.95,23907.78,4.34,164.72
9.46,-350.25,-6.76,3393.84,Medium,Rest,1.42,-14.26,-278.52,-876.04,-155.39,15,8,16.26,17775.96,0.02,1199.99
7.88,-495.24,-3.63,1357.68,Low,Rest,3.41,-36.04,-286,-1656.74,-162.83,21,8,1.5,4871.16,2.58,567.82
6.51,-466.44,-3.53,3876.12,Very high,Rest,5.88,-23.6,-117.76,-2872.24,-159.8,15,0,33.51,3876.84,2.54,3439.79
11.04,-400.44,-9.45,3836.55,Low,USA,1.52,-23.42,-127.7,-2044.52,-140.51,12,2,9.96,6056.37,13.78,1694.88
10.67,-304.23,-10.72,1288.59,Very high,UK,1.15,-17.06,-222.54,-707.7,-182.71,9,10,6.78,11601.06,0,0
11.53,-383.91,-3.61,2214.78,Very high,Rest,1.67,-27.26,-225.96,-380.76,-157.63,18,14,27.99,8992.08,0.86,1704.17
8.56,-408.51,-7.54,2576.37,High,UK,1.59,-3.38,-249.84,-680.7,-209.08,15,14,13.74,-17448,0.48,428.62
10.05,-396.21,-7.07,2329.53,Medium,Rest,1.52,-19.76,-280.8,-1253.48,-172.27,15,6,6.75,13081.38,0.12,604.38
11.12,-308.1,-4.41,2828.49,Very low,Europe,3.08,-16.24,-208.48,-1539.72,-156.59,3,6,4.38,8575.89,11.08,0
13.53,-381.06,-8.83,3592.65,Low,USA,1.01,-18.4,-183.32,-1285.34,-163.76,21,6,9.63,-44778.96,576.28,2148.72
9.37,-280.86,-4.2,1065.18,Very high,USA,8.62,-21.38,-242.86,-1279.34,-110.42,15,8,27.81,8676.84,0.72,3264.5
8.71,-231.78,1.95,2780.01,Low,Europe,4.6,-23.5,-216.62,-922.12,-159,3,2,6.24,2601.39,18.42,0
3.39,-292.29,-9.68,2530.38,Very low,USA,7.47,-10.3,-144.22,-688.76,-152.29,12,10,23.49,8271.33,11.96,2259.67
17.47,-200.58,1.49,4336.17,High,USA,4.8,-28.82,-244.18,-1478.46,-192.77,12,12,4.83,7733.55,0.28,143.61
10.88,-328.89,-10.14,2053.83,Very high,Europe,3.24,-25.14,-221.46,-2361.66,-271.76,15,10,16.38,15494.88,8664.18,0
16.56,-327.03,-11.24,2963.19,Very high,USA,7.75,-20.02,-253.52,-1595.5,-124.06,15,4,2.49,9255.33,0.34,3195.71
8.89,-292.62,-9.91,2807.07,High,Rest,3.95,-20.84,-211.18,-746.92,-131.53,12,6,7.74,23281.5,0.08,900.14
13.44,-67.23,-8.22,657.96,Medium,Rest,3.02,-18.78,-116.14,-1618.2,-273.54,15,2,30.42,8999.13,0.18,0
12.73,-487.95,-6.01,3597.45,Low,USA,0.3,-21.98,-181.9,-904.24,-105.59,15,10,1.89,6266.52,0,1611.64
13.02,-534.72,-0.59,2952.03,High,USA,5.13,-19.26,-180.34,-1270.56,-149,15,2,10.02,-5572.29,12.1,3779.05
11.16,-317.88,-7.99,2418.15,High,USA,5.36,-23.7,-166.38,-1007.3,-150.7,15,4,5.67,-7902.66,1.36,2315.23
12.71,-236.97,-12.09,2428.08,Low,UK,8.38,-22.22,-167.94,-1609.12,-214.95,9,12,34.14,29215.26,18.44,394
12.14,-315.57,-12.09,1369.8,Very low,UK,3.18,-20,-186.58,-943.92,-157.11,0,14,6.93,-17275.5,3.84,0
13.88,-452.73,-4.67,3793.92,High,USA,0.26,2.86,-173.18,-953.02,-122.58,6,6,6.21,5400.45,0.26,2349.49
13.26,-230.37,-9.13,4006.17,Very low,UK,1.96,-18.84,-253.8,-1549.8,-36.59,6,12,5.49,10873.83,4.12,0
10.14,-199.41,-10.13,3911.4,Very high,USA,3.27,-27.4,-236.2,-1075.68,-203.91,9,10,14.64,-961.8,17.58,677.49
9.35,-291.42,-6.55,1863,Medium,Europe,3.16,-21.56,-77.68,-1008.88,-182.94,18,8,5.88,7204.41,0,0
11.56,-643.65,-16.6,2369.4,Very high,Rest,3.21,-21.38,-266.98,-1496.12,-228.02,21,4,3.03,32176.2,0.44,2745.53
8.63,-271.89,-12.18,3434.76,Medium,Europe,0.76,-32.04,-142.12,-1407.3,-154.91,9,10,4.71,10371.87,0.02,0
16.29,-353.88,-3.55,1977.54,Very low,Europe,2.14,-18.48,-277.04,-1145.2,-173.24,15,2,5.88,26785.65,19.9,0
12.01,-192.78,-8.29,2868.42,Medium,UK,0.7,-22.22,-257,-2597.08,-160.48,15,6,3.99,7762.11,7.08,0
7.31,-261.03,-6.52,1609.11,Very low,UK,6.51,-21.74,-305.48,-1927.14,-164.85,12,10,19.38,5553.21,10.52,0
7.84,-383.85,-7.88,3583.38,Very high,Rest,7.97,-19.88,-218.72,-346.88,-139.82,15,6,2.94,33621.18,68.4,2560.01
10.22,-331.65,-10,3069.03,High,Europe,2.01,-18.12,-103.2,-1001.84,-52.85,21,12,16.92,-4671.57,5.24,1753.28
6.94,-382.59,-7.09,2610.93,High,USA,1.09,-15.2,-305.04,-1593.46,-175.33,21,12,1.53,7416.9,0.02,159.39
11.98,-399.87,-7.99,-249.54,Low,Europe,6.2,-20.3,-378.38,-125.56,-159.92,24,6,4.14,18673.2,0.44,1364.19
8.72,-367.38,-8.89,2011.17,Medium,UK,0.6,-17.86,-195.1,-1510.9,-199.29,24,6,15.42,4841.85,5.28,389.91
12.43,-306.96,-13.08,1819.08,High,Rest,2.68,-15.92,-234.96,-1691.12,-163.5,12,6,8.37,-32.82,0.92,0
14.69,-409.53,-8,1944.27,Very low,Europe,1.47,-15.94,-191.16,-1512.12,-109.68,18,6,11.07,13281.27,0.44,51.57
8.11,-427.08,-2.77,1387.74,High,USA,2.9,-25.94,-315.24,-1347.72,-134.05,6,14,19.8,1777.47,0.74,204
11.06,-406.89,-6.63,2638.11,Low,Europe,7.14,-28.98,-289.92,-1408.62,-162.62,3,4,3.9,21612.45,4.68,1059.59
12.6,-374.25,-5.92,4392.9,Very high,Rest,3.69,-14.52,-273.02,-797.22,-258.84,9,10,9.75,4844.22,8.96,1699.59
12.59,-344.07,-6.81,2094.09,Low,USA,10.16,-22.64,-247.88,-1220.68,-87.01,12,4,13.14,6749.73,30,3241.77
3.63,-318.39,-10.11,4045.71,Low,Europe,4.09,-24.74,-267.22,-682.12,-59.31,15,10,5.49,7611.93,13.18,1332.4
5.92,-246.6,-8.77,2671.83,Low,UK,4.61,-36.38,-197.66,-1061.4,-95.19,12,6,8.94,2298.63,0.28,105.68
12.67,-290.37,-8.85,3172.83,High,Rest,1.98,-21.46,-105.74,-1914.7,-72.68,6,12,7.35,6074.67,238.9,0
12.79,-326.52,-4.13,2404.11,Medium,Europe,3.34,-22.86,-228.26,-2666.08,-191.18,3,0,6.42,10070.13,0.12,0
13.59,-294.81,-10.86,1943.04,High,Europe,5.12,-29.74,-252.38,-2228.3,-174.86,6,10,6.81,-3106.2,0.06,0
10.03,-294.63,-7.47,2420.82,Medium,Europe,1.86,-19.4,-259.88,-848.56,-163.49,12,4,7.68,-1818.75,0.32,54.61
9.53,-451.8,-8.44,2530.86,Very low,UK,4.3,-11.9,-238.76,-1462.34,-78.39,27,10,14.94,14077.23,5.74,831.17
10.81,-543.48,-5.01,3757.53,Very low,USA,7.68,-21,-229.42,-389.34,-197.46,9,6,12.33,2356.53,0.24,3786.86
9.64,-326.16,-6.15,1190.73,Medium,Europe,2.91,-26.12,-202.6,-443.08,-197.44,6,4,7.65,7937.16,0.16,0
13.07,-283.47,-5.4,2438.46,Very high,USA,12.61,-25.66,-150.66,-502.96,-157.22,12,2,11.1,8686.86,0.3,3778.21
10.53,-367.68,-0.6,1991.88,Very low,UK,4.91,-26.72,-156.4,-1283.96,-188.85,24,12,16.65,10148.31,18.3,373.56
5.39,-327.03,-7.28,2085.48,Very high,USA,10.76,5.62,-181.28,-1633.1,-152.36,18,8,12.81,11226.06,149.24,3546.01
12.66,-384.03,-9,2065.29,Low,USA,13.6,-19.94,-199.96,-1022.56,-213.94,3,8,6,19804.86,51.12,2831.17
13.51,-490.17,-2.89,3710.97,Low,USA,7.54,-19.04,-313.24,-2146.98,-174.79,21,6,8.13,-9769.23,64.78,3717.51
10.42,-476.79,-1.91,1934.64,Very low,UK,5.02,-19.38,-223.3,-2106.92,-154.12,9,6,17.07,-6167.82,0.06,383.64
7.06,-357.18,-4.1,3147.03,Very high,Rest,3.89,-17.66,-239.64,-2443.5,-187.11,12,10,21.54,6654.54,0.02,1073.28
12.99,-306.03,-6.55,1688.34,Very low,Europe,4.57,-19.9,-171.04,-892.24,-157.91,6,6,11.49,30936.75,12.86,0
9.68,-493.74,-9.68,2057.04,Very high,Europe,3.92,-31.76,-330.98,-2200.8,-147.15,18,12,10.95,11925.75,0.3,1792.71
11.63,-424.98,-0.67,3893.25,Very low,USA,3.6,-3.6,-256.3,-862.32,-175.8,12,0,12.33,10595.07,0.02,3656.19
12.75,-409.08,-6.22,1057.74,Very high,Europe,4.29,-17.64,-122.12,-1100.06,-149.99,12,2,3.78,6881.01,3.54,1524.14
6.83,-299.4,-8.1,1623.54,Low,Europe,1.01,-17.12,-308.94,-707.94,-113.7,15,6,9.51,5584.2,4.34,0
11.73,-282.36,-5.26,1692.33,Medium,Europe,2.61,-26.64,-177.44,-974.68,-186.84,9,6,12.69,8804.91,20.74,0
5.74,-188.73,-3.9,2701.95,Low,USA,6.54,-38.1,-272.68,-1657.26,-202.92,15,8,43.86,19505.22,522.44,2846.23
9.32,-336.39,-5.8,1525.08,Low,Rest,0.39,-16.74,-171.1,-1762.42,-189.57,3,10,8.76,-6227.07,0.56,0
15.07,-314.61,-12.16,2573.67,Medium,USA,5.47,-17.74,-221.02,-817.68,-127.1,12,4,4.41,2243.04,2.52,1636.57
8.04,-402.81,-8,3532.35,Very low,Rest,4.99,-12.82,-185.9,-1093.52,-158.98,9,4,19.95,-4780.53,43.4,1743.61
11.52,-296.34,-4.99,2348.94,Very low,UK,2.98,-19.12,-214.02,-695.66,-151.73,9,6,3.03,-332.31,0.04,0
15.62,-283.74,-3.96,2738.19,High,Europe,1.45,-6.48,-237.88,-1683.18,-173.7,18,10,7.11,46894.44,37.12,0
12.25,-347.37,-5.26,1525.71,Medium,Rest,5.54,3.72,-204.22,-670.18,-104.29,12,2,9.36,-7944.84,0.02,1174.1
7.98,-394.35,-1.78,1604.16,Very low,USA,5.44,-8.64,-343.16,-1586.42,-145.72,18,6,21,-20215.32,1.32,2189.38
6.94,-196.2,-5.33,2894.7,Low,Rest,4.5,-20.1,-225.12,-854.58,-258.75,15,8,13.65,14681.4,0,336.18
8.55,-224.49,-6.82,1859.4,Medium,Rest,5.03,-24.5,-287.04,-1083.58,-204.63,15,4,4.26,12403.29,0,139.07
13.23,-442.59,-4.42,3155.52,Very high,Europe,2.6,-27.12,-187.26,-1983.56,-150.7,15,6,31.02,10749.21,0.4,2864.29
11.75,-367.68,-5.62,892.14,Very low,UK,0.68,-11.58,-138.54,-1097.78,-88.21,9,8,5.94,23048.88,102.14,0
12.25,-400.68,-4.8,1979.61,Very high,USA,11.11,-19.78,-261.06,-1472.62,-211.19,9,6,0.42,11711.04,0.1,3280.59
8.55,-282.03,-7.78,2412.36,Medium,Europe,2.29,-27.64,-252.7,-1091.98,-163.4,6,4,4.17,-6983.61,1.34,0
14.14,-362.7,-3.87,4107.33,Very low,Rest,5.47,-17.24,-141.64,-679.52,-186.81,12,4,6.96,-1373.73,0.04,1644.84
11.3,-327.75,-8.15,2982.99,Low,USA,2.99,-11,-240.54,-2552.54,-165.47,3,12,16.02,16251.27,1.28,0
6.31,-283.17,-4.84,4038.27,Very high,Rest,14.83,-19.1,-257.36,-349.86,-188.82,3,4,8.28,-16340.91,1.64,3040.28
9.87,-443.61,-6.81,3334.53,Very low,UK,6.16,-28.82,-127.78,-3067.34,-137.17,12,10,3.66,22926,0.3,82.5
16.92,-351.75,-0.71,2423.13,Medium,Europe,2.72,-22.22,-231.18,-1429.46,-128.13,15,8,4.23,398.82,80.88,0
11.85,-440.76,-11.49,1817.79,Very high,Europe,5.5,-17.36,-104.02,-1277.54,-109.4,9,4,13.74,3085.86,0.64,2533.83
10.37,-361.05,-12.32,1941.24,Very low,Rest,3.94,-19.54,-296.28,-1329.28,-139.4,9,4,3.66,4678.89,0.08,0
10.24,-215.01,-7.16,3097.74,High,USA,6.73,-10.54,-171.96,-2249.14,-130.06,6,4,6.21,21520.53,0.04,74.95
11.33,-191.58,-6.26,3686.97,Very high,UK,6.85,-21.5,-219.36,-1957.38,-168.31,12,6,13.29,70.56,0.86,460.81
9.43,-360.45,-10.78,1660.35,Medium,Europe,12.16,-26.76,-282.92,-1993.08,-112.64,12,8,3.18,-5263.5,17.06,1265.83
15.35,-386.13,-10.72,873.78,Medium,Rest,2.02,-19.58,-213.36,-1592.68,-194.98,9,6,38.25,-4679.13,175.04,908.4
12.83,-309.75,-4.65,3231.99,Very low,USA,0.65,-19.24,-166.66,-2010.6,-165.09,9,8,10.29,15816.51,2.56,0
12.92,-378.3,-9.95,3657.27,Very low,Europe,3.49,-10.26,-218.92,-1795.02,-175.63,15,6,8.19,20126.19,0.08,997.13
11.53,-354.27,-7.83,1982.4,Medium,USA,3.53,-22.92,-240.42,-1337.86,-195.75,3,16,4.89,1801.23,83.56,0
11.59,-344.58,-9.22,2732.79,High,Rest,1.82,-20.96,-82.8,-1862.66,-153.67,21,10,9.36,-7597.02,0.02,523.09
11.62,-244.59,-7.64,2817.36,High,USA,5.26,-28.52,-151.22,-1863.26,-281,9,4,14.22,22308.15,0.04,785.02
5.68,-282.72,0.19,3439.05,High,Rest,2.5,-22.34,-239.26,-1859.72,-65.81,3,18,7.92,8021.94,0.02,0
10.54,-570.33,-8.17,2423.19,Low,UK,2.81,-42.5,-143.02,-1935.92,-148.05,9,8,12.51,6259.14,0.74,541.39
15.41,-328.47,-13,3316.77,High,USA,1.08,-19.26,-226.88,-1241.3,-177.38,6,4,10.71,8505.63,9.74,780.56
15.51,-300.54,-9.95,1954.71,Low,Rest,1.02,-15.82,-210.26,-1467.48,-161.16,12,6,6.72,11078.52,2.38,0
14.5,-334.2,-9.44,2734.8,High,Rest,9.38,-21.48,-320.84,-1737.38,-183.31,6,6,1.98,4542.9,0.42,906.84
8.17,-206.73,-7.41,3623.55,Medium,Europe,3.34,-18.4,-209.82,-114.4,-163.99,15,10,11.85,21361.92,52.16,908.9
10.34,-245.52,-5.1,1296.63,Very low,Rest,3.17,-24.9,-120.22,-271.18,-141.1,12,4,6.84,8382.81,65.18,0
14.73,-299.85,-9.06,2813.07,Very low,Europe,3,-12.52,-185.42,-1565.24,-163.9,9,4,14.37,24499.77,0.58,0
13.86,-291.03,-9.42,748.68,Very low,UK,3.44,-13.4,-194.92,-2587,-166.24,15,8,4.23,7455.33,1.64,0
10.25,-347.49,-6.63,2328.72,Medium,Europe,4.56,-20.06,-247.9,-1211.44,-151.7,0,6,10.26,14682.63,34.16,0
9.68,-420.69,-10.55,2222.46,Low,UK,1.85,-32.5,-218.44,-2581.52,-153.81,12,6,10.47,-8379.66,0.54,7.3
17.27,-280.65,-2.05,1588.74,Low,Europe,10.47,-7.74,-343.76,-970.22,-202.86,18,10,6.3,26526.42,3.9,932.19
13.14,-264.03,-7.8,2388.27,Low,UK,5.2,-23.56,-184.18,-1390.84,-137.13,6,6,42.45,-7278.69,4.18,659.99
11.54,-227.07,-8.87,2884.44,Very low,UK,5.34,-18.98,-169.02,-2282.12,-155.81,9,6,14.58,9695.76,14.58,0
10.52,-436.47,-8.49,3387.99,Low,Europe,1.52,-28.36,-117.94,-442.36,-270.83,6,2,11.88,8473.08,0.12,2336.02
12.93,-203.61,-4.28,1608.33,High,UK,4.12,-22.48,-119.56,-1413.64,-73.31,24,10,17.52,5290.95,0.34,143.08
11.18,-255.27,-7.64,1894.59,Medium,Rest,3.71,-31.92,-146.4,-1082.2,-163.18,9,6,1.74,6325.08,0.52,0
13.11,-220.26,-4.94,3073.59,Very high,Europe,1.71,-17.48,-223.82,-903.52,-130.01,12,8,9.57,23652.42,82.2,0
11.17,-313.29,-5.44,1603.83,Very high,USA,3.48,-20.76,-177.82,-1820,-157.28,12,6,12.81,2394.21,8.28,302.43
11.07,-289.26,-7.29,1567.8,Low,Rest,2.28,-20.48,-189.76,-1599.4,-207.62,12,10,3.75,11178.57,59.36,0
9.41,-304.68,-6.49,2243.58,Very low,Rest,2.51,-6.08,-211.58,-2012.68,-152.61,18,4,7.83,-1463.73,481.9,0
12.72,-231.9,-7.1,2648.73,High,Europe,0.29,-23.68,-112.22,-1861.62,-137.79,18,12,9.84,-37995.51,455.78,0
10.23,-436.26,-8.62,3626.55,High,USA,0.04,-20.04,-189.64,-189.3,-193.62,9,12,6.03,3872.16,0.04,1929.85
12.94,-249.39,-8.05,1639.44,High,Europe,4.52,-17.92,-321.86,-1071.58,-134.6,18,12,7.17,18792.12,0.86,0
8.59,-333.03,-5.38,2341.44,Very low,Rest,1.07,-8.46,-344.42,-1765.68,-249.57,15,6,1.65,7268.82,3.04,0
10.61,-242.88,-11.26,3182.04,High,Europe,4.86,-17.7,-249.52,-1885.32,-129.51,15,14,5.88,9910.59,0.6,0
14.8,-301.95,-6.65,2823.57,Low,Rest,1.88,-8.8,-140.06,-343.64,-135.21,15,14,13.92,-8184.69,4.88,249.63
10.84,-443.82,-11.74,3788.58,Medium,USA,1.58,-15.28,-219.92,-971.9,-133.28,15,4,1.38,6097.32,0.3,3096.28
13.54,-341.16,-1.65,2870.88,Very low,USA,3.6,-12.8,-221.14,-1488.54,-142.85,15,8,32.46,200.64,0.02,2736.88
7.27,-525.36,-4.58,2930.19,High,Europe,3.78,-19.18,-143.94,-2040.52,-153.71,15,6,8.67,-5814.06,6.78,2547.65
10.12,-276.42,-10.1,2126.79,Medium,USA,2.08,-26.56,-165.78,-970.92,-159.09,18,2,32.25,5208.54,7.3,3240.08
15.26,-338.58,-8.27,4708.62,Medium,USA,5.19,-35.08,-193.94,-1596.88,-106.67,12,14,0.54,10943.97,5.16,701.35
10.72,-398.76,-2.63,1032.12,High,UK,1.45,-16.26,-177.16,-1219.66,-133.48,9,10,24.06,4823.7,0.02,199.29
11.39,-251.13,-10.03,5033.4,High,Europe,1.6,-16.3,-270.18,-1787.08,-161.4,18,8,6.54,6267.24,9.9,968.46
13.37,-254.37,-6.51,2223.33,Very high,Europe,6.51,-14.62,-171.28,-1385.26,-181.21,15,6,10.47,-27456.24,1.76,1385.75
12.93,-414.54,-8.13,3401.82,High,Europe,7.69,-17.02,-201.74,-603.36,-163.55,12,6,29.13,10676.07,1.18,2978.27
14.36,-263.82,-5.51,2439.84,High,Rest,5.3,-18,-222.1,-1427.44,-141.99,12,10,2.19,-819.66,48.86,0
8.04,-301.41,-10.14,3126.57,Medium,UK,6.24,-21.32,-257.74,-1479.82,-180.73,3,6,14.07,17130.87,18.68,321.58
9.24,-329.28,-12.08,1876.26,High,Rest,0.79,-18.34,-195.9,-1233.74,-110.69,15,8,4.47,3132.81,14.66,0
8.54,-587.76,-12.63,2579.22,Low,USA,4.37,-27.76,-243.44,-1207.56,-110.67,3,12,15.42,4160.61,0.04,2870.07
9.95,-401.01,-15.72,2079.57,Very low,UK,8.72,-20.6,-120.86,-615.2,-161.95,12,8,4.8,3698.04,133.08,552.63
17.9,-386.61,-7.73,2716.59,Medium,USA,3.77,-21.98,-188.74,20.4,-199.99,6,6,18.51,15029.64,0.58,3378.5
6.82,-364.02,-8.74,4199.82,High,USA,1.65,-22.38,-247.96,-1648.38,-190.96,15,12,21.66,16176.87,156.04,2720.59
7.81,-395.55,-7.07,2161.17,Very high,UK,1.65,-13.14,-293.82,-1181.68,-140.64,9,6,3.66,-275.01,4.52,222.73
11.74,-273.33,-13.85,2795.67,Medium,UK,4.73,-19.78,-212.04,-1307.74,-215.56,6,6,8.79,3233.79,0.04,106.55
8.48,-288.36,-4.71,3322.29,High,USA,4.17,-32.72,-89.08,-1281.08,-198.93,18,10,17.07,7731.99,8.78,2459.82
13.32,-412.29,-3.91,1786.71,Low,USA,6.04,-37.84,-170.02,-543.82,-130.87,12,10,7.32,-15574.59,0.06,1497.56
9.79,-535.02,-6.7,3343.83,High,UK,3.93,-19.88,-167.36,-764.66,-184.93,15,8,13.2,9318.51,0.3,1727.23
12.84,-364.05,-10.76,2782.77,Low,USA,0.95,-19.96,-209.62,-1895.44,-136.01,6,6,30.63,5818.74,6.42,801.73
8.83,-412.17,-11.58,1843.53,Low,UK,3.36,-23.54,-262.28,-460.52,-88.72,18,12,5.79,-13900.05,6.88,258.27
15.11,-82.86,-6.81,2985.66,Low,UK,2.36,-25.58,-242.52,-537.32,-183.09,15,12,21.54,8557.62,0.06,0
11.43,-333.57,-11.17,3024.6,Very low,USA,3.75,-20.3,-309.96,-1546.28,-156.08,21,12,6.36,14435.4,4.98,110.25
9.22,-360.24,-7.52,1733.46,High,Europe,4.34,-19.3,-336.24,-1205.88,-163.47,24,10,7.14,9528.12,76.76,1227.62
8.16,-147.45,-6.74,2034.03,Low,Rest,2.62,-11.7,-261.74,-2108.44,-195.19,18,10,2.67,3660.42,69.86,0
14.22,-237.45,-1.77,3656.28,Very high,Europe,1.97,-20.18,-280.88,-1375.28,-176.09,6,4,2.28,-3261.87,0.7,0
9.56,-241.41,-9.16,2503.26,Very low,UK,6.15,-20.5,-243.88,-1830.02,-153.45,24,6,37.11,19131.75,15.1,860.66
14.46,-269.76,-10.98,2281.08,High,Europe,2.84,-24.52,-280.84,-1375.82,-156.57,12,12,5.73,12184.11,138.22,0
9.9,-344.13,-5,3316.59,Low,Rest,6.91,-20.98,-167.56,-293.92,-187.81,12,6,18.66,6418.59,134.62,2093.67
11.42,-330.3,-7.38,1568.22,Low,UK,7.83,-20.64,-189.52,-1042.04,-174.9,9,4,6.57,6829.74,1.42,288.54
11.41,-244.86,-7.77,3185.82,Very low,USA,2.39,-35.12,-86.64,-1974.46,-179.33,15,8,15.48,15836.85,8.62,0
8.79,-291.81,-9.72,1944.3,Low,Rest,3.04,-25.84,-246.28,-2016.08,-189.57,12,4,9.99,20563.98,0.2,0
7.62,-343.65,-8.56,2887.26,High,UK,11.08,-21.14,-214.9,-1257.64,-196.21,18,8,17.37,-2839.05,2.02,1645.33
6.43,-374.97,-6.28,1713.66,Very high,UK,0.87,-0.64,-159.46,-70.7,-95.26,9,6,6.84,621.48,27.22,336.31
9.22,-533.55,-10.22,2467.02,High,Europe,3.34,-27.44,-278.9,-1483.4,-183.45,3,8,9.09,-9559.98,0.06,1750.53
17.87,-433.98,-5.96,2023.23,High,USA,0.57,-17.8,-206.32,-458.66,-139.18,15,6,27.21,19003.65,0.14,3603.49
8.02,-445.65,-9.6,3479.01,Low,Europe,1.67,-38.48,-243.84,-1303.64,-204.11,15,6,3.87,2320.98,0.04,1545.04
16.37,-262.35,-8.14,3496.89,High,USA,4.82,-17.04,-215.08,-1562.04,-156.32,6,6,12.81,4022.64,637.96,831.68
6.31,-246.06,-8.69,2620.92,High,USA,6.25,-20.92,-135.36,-2084.8,-167.32,18,8,10.71,10789.02,1.74,616.01
11.65,-202.89,-3.06,2946.24,Low,Rest,4.18,-11.58,-209.8,-1769.86,-114.75,18,6,10.65,776.76,2.7,47.55
13.25,-260.91,-7.34,2411.19,Very high,UK,7.57,-18.42,-181.1,-1352.26,-153.19,18,8,17.7,5923.95,3.7,831.34
15.29,-398.37,-5.1,3063.9,Low,USA,8.02,-14.6,-305.88,-261.64,-136.4,6,6,7.2,750.24,0.04,3439.87
11.54,-328.71,-10.92,5864.37,Medium,USA,9.62,-20.34,-207.52,-621.54,-156.05,12,10,13.35,7063.23,246.34,3787.65
7.56,-296.46,-5,2365.98,Very low,UK,3.01,-25.72,-356.96,28.86,-134.65,9,10,2.4,40047.72,0.9,0
9.13,-428.64,-6.73,3450.27,Medium,Europe,2.03,-20.78,-194.66,-1379.22,-137.78,12,14,7.26,7051.83,0,484.93
11.42,-336.03,-0.66,2406.6,Low,Europe,6.73,-24.22,-268.94,-1076.24,-150.03,9,8,8.52,11971.38,0,711.72
10.06,-357.45,-6.74,3349.74,Very high,UK,6.73,-11.14,-222.8,-1008.98,-183.23,9,12,15.66,25643.22,1.3,922.76
6,-382.98,-7.81,2271.99,Low,Europe,3.16,-19.32,-137.14,-955.62,-193.25,3,6,8.61,13200.45,1.26,0
8.86,-221.94,-9.05,2728.08,High,UK,1.09,-13.7,-310.02,-1041.02,-155.18,12,10,48.27,-5017.02,0.24,698.75
11.51,-411.21,-3.21,1794.6,High,Rest,3.34,-17.86,-123,-1002.58,29.49,12,8,10.17,283.29,39.06,853.64
12.88,-382.44,-8.28,3608.73,High,Rest,2.71,-16.62,-196.84,-1099.94,-197.45,9,10,10.5,3762.84,0,1050.07
8.18,-278.7,-7.97,2176.98,Very low,Europe,9.36,-17.08,-193.58,-950.06,-180.12,9,8,10.47,15251.55,0.02,543.83
8.01,-279.87,-7.49,3554.13,High,Europe,1.07,-9.84,-216.86,-1443.82,-127.05,6,2,7.17,6397.83,0.66,45.42
9.81,-318.75,-9.65,4323.24,Medium,Rest,0.84,-16.76,-227.44,-1567.58,-98.95,15,8,26.04,32987.85,0.1,1394.21
13.64,-269.88,-8.17,2314.5,Low,USA,1.11,-19.02,-183.82,135.64,-158.8,12,6,1.5,3092.22,0.78,0
10.46,-427.05,-6.02,2905.2,High,UK,1.59,-22.08,-203.74,-1052.6,-187.19,9,2,21.12,11579.22,113.86,1081.64
10.65,-281.19,-5.81,2295.69,Low,UK,1.58,-17.92,-155.66,-1112.88,-164.81,6,2,2.67,-20872.92,1946.72,0
10.37,-374.79,-9.05,3198.9,Very high,Europe,0.83,-31.56,-286.04,-2918.8,-165.25,9,10,56.94,30967.23,0,2653.71
12.06,-579.81,-9.79,3589.5,Very low,UK,3.29,-24.08,-138.66,-546.44,-170.52,12,12,7.59,2295.81,2.36,998.85
11.2,-396.69,-7.6,2801.4,High,UK,1.29,-23.9,-230.26,-1081.48,-139.06,12,10,1.95,4253.19,10.6,148.1
