F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
11.7,1.65,-1.94,11.06,17.31,65.58,0.35,25,7.66,120.56,-2.46,2.58,1,1.92,12.38,True
15.7,2.64,-1.72,14.34,18.45,158.58,-0.86,3,8.89,128.56,-11.14,1.47,1,1.84,,True
57.7,23.4,9.78,0.52,4.53,227.58,-1.75,240,6.63,164.56,2.92,18.3,10,9.28,,True
17.7,42.75,2.28,2,7.92,107.58,-0.78,380,6.29,484.56,3.14,20.25,10,7.48,9.97,False
11.7,4.74,-2.22,9.62,19.68,92.58,0.07,24,10.24,76.56,-10.92,0.42,1,2.28,10.51,True
17.7,39.15,9.82,2.22,7.74,107.58,0.72,165,4.09,474.56,5.82,22.2,10,8.38,9.64,True
37.7,16.8,11.08,-0.96,7.26,317.58,-0.52,375,2.47,424.56,7.54,16.2,10,10.63,,False
37.7,15.15,9.1,2.16,11.34,-57.42,-0.49,120,3.11,364.56,5.46,27.9,10,7.13,,False
17.7,24,7.54,7.14,5.49,32.58,0.86,340,3.41,424.56,5.68,18.75,10,8.23,8.99,False
57.7,20.25,7.18,2.48,8.67,212.58,0.65,70,4.56,274.56,1.7,19.05,10,6.58,9.98,False
11.7,5.16,-1.68,14.38,23.28,182.58,-1.21,1,8.34,146.56,-3.48,0.93,1,1.51,11.05,True
37.7,23.1,9.9,1.88,7.65,227.58,2.43,360,5.92,514.56,4.08,20.85,10,8.78,10.43,False
9.7,2.31,0.68,8.86,16.53,122.58,-0.54,23,9.39,92.56,-3,2.28,1,2.33,11.76,True
37.7,32.7,9.44,3.76,12,257.58,-1.49,250,3.19,434.56,6.24,21.9,10,8.03,,False
17.7,45.75,11.92,-0.28,3,32.58,0.85,330,6.01,394.56,8.32,18.6,10,11.03,,True
11.7,2.43,-3.1,9.38,17.4,71.58,0.07,34,8.67,110.56,-10.76,2.34,1,2.2,,True
11.7,4.98,-3.66,11.98,22.35,161.58,0.07,70,9.91,90.56,-3.24,0.81,1,2.06,,False
57.7,16.2,5.9,1.62,4.11,437.58,-1.38,165,3.54,544.56,5.06,24.9,10,8.43,,False
11.7,5.88,-0.3,12.34,16.44,101.58,0.14,14,10.2,114.56,-8.46,2.4,1,2.09,11.26,True
15.7,0.78,1.24,9.84,19.56,158.58,2.55,40,7.31,76.56,-2,0.09,1,2.24,11.1,True
15.7,1.62,-6.68,9.14,20.64,137.58,-0.91,4,9.38,114.56,-3.42,1.77,1,1.53,,False
57.7,19.5,8.78,-0.3,2.28,347.58,-0.94,380,3.87,444.56,2.42,29.55,10,8.78,11.98,True
37.7,22.95,7.32,3.38,5.16,-42.42,-0.99,95,3.15,294.56,0.44,25.2,10,7.18,10.82,True
11.7,5.91,0.36,8.94,21.72,104.58,-0.81,18,7.86,100.56,-2.26,1.74,1,1.73,,False
11.7,4.5,0.64,9,33.42,95.58,1.24,18,8,94.56,-8.26,1.92,1,1.65,,False
11.7,0.54,1.58,8.96,15.9,176.58,1.96,23,8.44,92.56,-3.34,0.39,0,2.32,10.29,True
7.7,6.12,1.2,9.88,18.12,89.58,-0.42,20,7.05,94.56,-3.54,2.37,0,2.23,,True
11.7,4.44,0.5,12.02,19.92,143.58,1.7,19,8,142.56,-2.96,2.16,1,2.15,13.2,True
15.7,0.57,0.92,8.88,17.88,137.58,0.94,64,9.27,78.56,-4.5,2.4,1,2.02,,True
37.7,38.4,8.7,2.42,15.15,287.58,-2.39,140,4.15,454.56,5.32,21.75,10,7.43,10.11,False
37.7,17.55,9.84,1.36,4.23,-117.42,3.2,245,3.13,444.56,0.1,21,10,8.58,8.63,False
7.7,4.32,-0.76,8.94,33.45,101.58,2.01,15,10.46,104.56,-2.54,1.89,1,1.8,,False
17.7,16.05,11.26,0.28,2.67,-132.42,1.73,60,2.81,354.56,4.34,21.6,10,9.13,10.27,False
15.7,1.14,0.12,10.42,20.01,182.58,-0.65,16,8.37,120.56,-4.58,0.3,0,1.9,,True
37.7,30.6,6.26,5.38,7.92,-57.42,-0.3,310,4.99,444.56,3.04,21.15,10,6.48,9.91,False
15.7,5.7,-1.2,13.74,23.88,182.58,-0.54,38,8.38,88.56,-5.04,2.28,1,1.42,12.37,True
37.7,17.85,10.34,4.3,5.55,-87.42,-1.58,45,2.94,514.56,3.5,25.5,10,8.33,11.84,True
11.7,2.52,0.14,13.78,18.09,134.58,-0.3,64,7.25,74.56,-4.28,2.25,1,2.12,,True
37.7,24.15,11.86,-1.78,2.19,-72.42,1.01,245,3.05,124.56,9.12,23.4,10,10.23,,True
15.7,5.64,0.82,10.34,20.73,125.58,-0.48,60,8.85,112.56,-2.18,1.17,1,2.27,,True
11.7,2.31,1.22,9.92,16.56,170.58,-0.41,75,7.44,100.56,-4.32,2.01,1,2.15,,True
11.7,0.57,-7.88,8.94,17.88,116.58,-0.14,2,7.49,98.56,-4.78,1.29,1,2.2,,True
37.7,22.35,11.26,-1.78,0.57,-87.42,0.67,175,2.53,174.56,6.54,19.65,10,10.13,12.7,True
11.7,1.62,1.28,9.1,19.95,179.58,-0.6,20,8.11,102.56,-3.52,1.86,0,1.39,9.69,False
37.7,31.8,9.34,1.84,18.15,347.58,-1.7,185,5.67,264.56,4.36,26.25,10,6.68,10.72,False
17.7,32.4,10.08,-0.12,6.15,-147.42,-0.55,65,5.48,244.56,6.76,18.6,10,8.13,11.81,False
11.7,4.32,-3.72,20.6,22.23,143.58,0.73,12,8.6,154.56,-5,1.41,1,1.39,,False
7.7,3.06,0.48,11.14,17.25,95.58,-0.12,29,7.37,130.56,-8.72,2.91,1,1.83,,True
11.7,2.37,-1.3,13.12,17.64,83.58,0.4,6,8.88,142.56,-4.04,1.38,1,2.17,11.37,False
57.7,28.5,8.6,-0.4,1.92,167.58,-1.68,260,2.69,404.56,6.78,17.25,10,10.38,12.3,True
15.7,5.16,-0.04,9.98,23.82,164.58,-0.01,23,7.67,112.56,-5.02,2.49,1,1.35,,True
37.7,30.75,8.6,1.72,6.24,422.58,-1.92,150,4.18,514.56,4.84,26.55,10,6.58,,False
15.7,6.21,-7.96,11.22,18.27,152.58,-0.76,38,8.32,108.56,-7.12,2.58,1,1.4,10.85,False
27.7,21.15,9.18,3,8.25,137.58,-0.92,180,4.93,64.56,5.26,17.7,10,6.68,,False
15.7,5.64,-0.3,10.28,17.94,125.58,2.08,46,8.44,108.56,-2.88,2.73,1,1.4,10.15,False
37.7,26.85,11.56,-1.7,1.83,-72.42,-1.18,165,4.08,224.56,6.62,29.4,10,8.18,12.49,True
13.7,6.09,0.28,11.04,19.38,122.58,-0.71,46,10.16,118.56,-3.16,1.41,1,1.7,,False
17.7,30.45,8.2,1.8,6.78,-87.42,0.87,50,7.71,454.56,4.32,21.75,10,7.38,,False
57.7,31.2,8.02,2.84,6.75,377.58,-2.31,280,3.68,334.56,6.18,25.05,10,7.88,,True
37.7,22.5,11.64,-1.32,1.71,77.58,-0.41,215,2.61,454.56,4.56,19.65,10,10.78,11.88,True
11.7,2.01,-5.76,10.76,24.03,149.58,-0.21,8,7.61,98.56,-4.2,2.13,1,2.21,12.93,True
11.7,2.85,0.1,10.64,18.81,173.58,-0.07,1,7.75,98.56,-5.54,2.22,1,1.36,,False
15.7,2.52,1.28,15.98,22.71,131.58,0.07,44,7.96,110.56,-2.6,1.53,1,2.23,12.44,True
5.7,4.71,1.12,18,16.65,74.58,-0.6,0,7.41,72.56,-2.32,0.33,1,2.19,,True
11.7,0.45,-3.76,8.68,17.07,140.58,-0.16,33,8.05,98.56,-3.8,2.19,1,1.96,11.45,True
15.7,2.01,-0.48,9.7,18.69,149.58,-0.53,18,8.58,132.56,-4.3,1.53,1,1.77,10.3,False
37.7,18.9,7.46,7.58,7.86,-72.42,-1.12,95,4.52,514.56,-3.5,17.85,10,7.58,,False
15.7,1.74,-6.92,9.42,17.37,155.58,-0.77,21,9.01,86.56,-3.22,0.15,1,1.96,11.1,False
15.7,3.21,0.82,16.04,20.64,152.58,-0.09,65,7.48,158.56,-3.4,1.95,1,2.26,12.2,True
37.7,19.95,8.34,4.62,6.57,-87.42,-1.33,15,4.06,144.56,4.8,16.05,10,6.58,11.22,False
11.7,6.12,-2.52,9,16.89,119.58,0.44,4,9.25,70.56,-4.3,2.67,1,1.54,,True
15.7,0.51,-1.98,14.1,23.43,158.58,-0.31,8,9.64,80.56,-3.56,1.62,1,1.78,,False
37.7,17.25,11.02,0.58,5.91,302.58,-2.07,50,2.68,224.56,-2.92,19.2,10,8.63,11.66,True
7.7,3.15,1.24,10.44,25.32,113.58,0.56,22,7.45,132.56,-5.32,2.79,1,1.92,11.4,True
17.7,22.05,7.84,-0.92,3.33,-117.42,0.86,220,2.62,264.56,6.88,21.75,10,8.53,9.74,False
11.7,4.41,-5.46,9.52,16.95,158.58,0.25,33,8.42,92.56,-5.62,0.87,1,1.78,,False
11.7,0.3,-0.64,10.56,16.62,158.58,0.51,17,7.63,150.56,-2.54,1.62,1,2.18,,False
37.7,18.15,8.06,-0.72,0.33,122.58,-0.68,200,4.5,374.56,8.5,26.1,10,10.18,12.46,True
11.7,2.79,-2.36,9.76,16.14,173.58,-0.77,16,8.33,70.56,-2.76,2.13,1,2.25,,True
11.7,0.63,-1.44,15.78,26.52,149.58,-0.47,2,7.86,148.56,-3.06,0.54,1,1.96,11.23,False
17.7,26.55,5.48,-0.58,3.12,-102.42,0.08,345,2.75,354.56,7.94,22.8,10,9.68,10.76,False
37.7,39.3,9.82,-0.46,1.59,-27.42,1.01,360,2.46,464.56,5.88,21.3,10,9.88,,True
15.7,5.97,-7.92,11.5,22.02,164.58,-0.12,37,8.96,76.56,-5.6,2.52,1,2.1,12.43,True
37.7,21.15,9.52,-0.44,4.44,107.58,-1.51,65,2.98,274.56,6.62,15.3,10,10.03,11.92,True
37.7,40.8,4.3,0.62,5.01,-72.42,-1.97,100,5.18,294.56,5.24,18.9,10,7.53,9.72,False
11.7,5.52,-1.06,13.46,17.97,167.58,-0.36,26,9.31,122.56,-9.26,3.15,1,1.81,12.22,True
57.7,18.75,7.38,7.06,3.93,152.58,-1.72,210,5.98,474.56,5.68,22.2,10,9.58,11.05,True
17.7,22.2,10.84,0.18,10.77,92.58,-0.01,230,3.65,284.56,6.78,16.65,10,10.38,10.99,True
17.7,34.65,7.64,5.28,11.76,-42.42,1.26,355,6.11,204.56,0.6,16.65,10,6.33,9.17,False
37.7,19.35,11.74,-0.36,3.81,212.58,3.16,370,4.09,494.56,6.32,24.75,10,10.58,10.06,True
17.7,23.85,9.42,2.44,6.99,-42.42,-0.39,120,3.74,304.56,6.06,23.7,10,6.93,,False
27.7,31.35,10.56,1.84,6.45,122.58,-2.3,5,5.13,134.56,4.66,18,10,7.93,11.4,False
11.7,4.08,1.34,11.32,24.78,161.58,-1.04,8,8.38,144.56,-4.72,1.53,1,2.26,11.13,True
37.7,19.65,5.56,1.74,7.95,-72.42,-0.9,35,6.88,504.56,3.62,16.95,10,8.43,9.98,False
15.7,1.68,-1.34,15.06,24.72,149.58,-0.26,71,8.01,96.56,-2.06,2.31,1,2.03,,True
15.7,3.69,-1.5,9.36,21.21,128.58,1.09,2,7.6,102.56,-5.28,0.12,1,1.83,,False
17.7,21.15,9.68,0.66,7.05,92.58,1.8,260,3.52,234.56,2.24,21.3,10,7.43,,False
37.7,18.75,11.84,1.34,5.37,62.58,-0.12,315,3,174.56,6.74,28.35,10,8.43,11.38,True
57.7,27.9,6.98,2.94,8.22,167.58,-1.81,25,5.19,294.56,3.94,16.5,10,6.58,,False
37.7,18,7.9,3.44,11.73,77.58,-1.2,90,5.09,314.56,0.2,19.5,10,6.93,,False
37.7,24.45,5.46,5.84,7.05,152.58,-0.35,230,5.43,534.56,2.9,17.85,10,7.93,10.24,False
11.7,4.62,-1.9,12.64,25.02,113.58,1.97,1,9.23,130.56,-5.18,3.03,1,1.49,,False
15.7,0.96,0.88,10.38,17.58,128.58,-0.26,44,7.42,124.56,-2.22,1.68,1,2.05,11.6,True
17.7,20.55,11.1,0.34,6.78,-117.42,0.37,345,2.77,264.56,6.66,28.35,10,7.28,,False
17.7,29.4,10.7,-1.24,8.13,-72.42,0.97,300,2.1,84.56,7.88,20.1,10,11.13,,True
11.7,5.46,-0.74,9.66,16.8,131.58,-0.36,16,7.61,112.56,-2.88,1.74,1,1.91,,True
37.7,18,10.68,1.48,2.52,-42.42,-0.98,65,3.32,154.56,6.64,30.15,10,7.13,,True
15.7,1.98,-7.28,12.34,17.01,140.58,-0.16,50,7.18,124.56,-3.34,2.7,0,2.11,,True
17.7,19.2,4.48,4.26,7.47,-132.42,-0.86,20,4.23,354.56,4.9,16.65,10,7.58,9.34,False
15.7,4.08,-1.36,10.72,17.52,167.58,-0.78,48,7.87,128.56,-4.78,0.27,1,1.82,10.39,False
7.7,4.47,-1.3,11.16,17.67,95.58,-0.2,32,8.43,120.56,-4.82,2.7,1,1.74,10.64,False
37.7,20.4,8.62,1.92,4.68,32.58,-0.39,300,3.14,434.56,3.78,30.15,10,6.78,,False
11.7,3.42,1.38,9.08,18.63,83.58,-0.74,2,8.16,66.56,-6.5,1.14,1,1.92,10.17,False
11.7,5.31,0.78,10.04,18.93,134.58,-0.38,2,8.52,84.56,-3,1.08,1,1.53,10.86,False
11.7,5.85,0.08,8.8,16.92,158.58,-0.06,20,7.85,88.56,-4.98,2.82,1,1.67,12.41,True
15.7,3.3,-0.92,11.72,18.72,173.58,-0.64,76,8.57,130.56,-2.16,2.7,1,2.08,11.55,True
15.7,3,-0.14,16.96,16.35,131.58,-0.01,16,8.4,104.56,-5.62,1.65,1,2.16,10.31,True
37.7,17.7,9.1,0.42,3.96,2.58,-0.12,230,3.12,354.56,6.14,19.65,10,8.83,9.17,False
37.7,26.55,6.44,4.44,7.89,-57.42,-0.07,340,4.24,284.56,3.56,18,10,7.18,,False
37.7,17.4,6.52,3.18,14.97,107.58,-1.78,95,3.33,204.56,5.9,26.85,10,7.23,12.54,True
15.7,5.07,-1.62,11.08,23.22,170.58,-0.28,7,9.97,140.56,-3.72,2.82,1,1.46,12.24,True
37.7,37.2,10.82,0.76,1.68,-147.42,0.64,335,2.9,194.56,6.36,27,10,7.63,,False
11.7,4.8,-4.66,15.14,17.46,137.58,-0.18,71,7.62,106.56,-5.36,2.43,1,1.71,10.72,False
7.7,4.02,1.12,11.7,17.07,80.58,-0.34,66,7.27,86.56,-3,2.52,1,2.18,,True
15.7,4.11,1.48,9.18,27.48,170.58,-0.62,74,8.96,100.56,-3.22,0.6,1,2.12,,False
11.7,2.31,1.78,8.4,17.25,116.58,-0.51,3,7.3,100.56,-2.96,1.71,1,2.25,,True
37.7,28.2,4.54,0.42,7.5,-57.42,-0.78,230,5.15,314.56,2.14,20.7,10,7.43,9.18,False
11.7,1.29,-0.8,8.98,16.68,128.58,0.11,52,8.09,120.56,-5.6,2.55,1,2.21,,True
37.7,15.75,9.08,-0.58,5.52,257.58,-1.5,190,3.72,314.56,7.56,26.7,10,7.93,,True
11.7,0.81,-1.2,12.84,18.69,134.58,-0.68,15,8.62,74.56,-6.52,1.5,1,2.05,11.3,True
11.7,3.81,-1.1,9.3,21.93,86.58,-0.23,22,8.69,86.56,-11.9,0.06,1,2.2,,False
11.7,4.23,0.14,10.32,19.23,149.58,0.24,65,7.61,116.56,-4.44,1.68,1,1.95,,False
7.7,3.33,1.56,9.84,24.54,62.58,0.14,1,9.91,102.56,-4.02,1.11,1,2.12,,True
37.7,22.65,9.6,5.2,11.01,392.58,-2.06,225,3.95,194.56,6.06,19.95,10,6.93,,False
11.7,3.15,1.84,9.54,17.19,155.58,-0.48,33,9.52,88.56,-5.62,2.94,1,2.12,11.57,True
17.7,30.3,8.92,-0.6,4.77,-12.42,0.51,285,2.67,424.56,8.14,25.95,10,9.28,,False
11.7,5.61,-2.02,15.8,24.36,65.58,-0.48,51,8.55,140.56,-2.62,1.26,1,2.19,,True
37.7,38.25,7.28,1.26,25.86,-132.42,-0.31,330,4.95,464.56,-0.02,18.9,10,7.88,10.15,False
15.7,3.48,0.56,8.94,17.91,149.58,-0.94,9,8.51,76.56,-6.78,1.44,1,1.93,11.6,True
15.7,0.09,0.72,8.92,23.07,125.58,1.02,11,8.21,96.56,-16.74,0.6,1,1.89,,False
11.7,2.13,1.12,10.22,19.62,167.58,-0.64,29,8.12,124.56,-4.22,2.85,1,1.63,,False
15.7,2.91,-0.82,10.5,23.97,128.58,-0.31,16,9.14,124.56,-2.38,2.58,1,1.95,12.13,True
37.7,34.8,9.44,1.24,6.39,32.58,-0.78,330,3.25,494.56,4.18,26.25,10,7.68,,False
57.7,23.55,6.82,3.74,7.47,287.58,-0.15,30,4.97,184.56,-0.5,15.9,10,6.43,10.05,False
11.7,5.64,1.28,9.06,17.01,143.58,0.6,68,7.41,128.56,-2.88,2.07,1,1.86,10.99,False
7.7,3.51,0.68,9.16,29.7,107.58,0.48,10,8.52,102.56,-3.2,1.11,1,2.01,,False
37.7,23.55,9.68,2.84,7.41,272.58,-0.71,55,3.27,304.56,6.64,27.15,10,6.78,9.95,False
7.7,0.84,-2.12,10.64,17.34,116.58,-0.22,12,8.31,136.56,-3.08,2.52,1,2.14,11.85,True
15.7,3.39,0.44,9.74,29.61,182.58,-0.63,4,9.46,76.56,-3.52,1.8,1,1.61,11.32,True
37.7,28.8,10.96,-1.06,6.39,362.58,-1.08,245,4.07,194.56,0.06,27.45,10,7.98,11.92,True
17.7,23.1,4.8,4.88,10.05,107.58,-0.91,125,6.74,464.56,-0.06,16.8,10,6.63,,False
11.7,0.42,1.76,13.4,19.38,140.58,1.53,1,8.55,82.56,-3.3,1.89,1,2.33,11.2,True
11.7,1.92,1.12,8.62,17.73,125.58,-0.58,7,7.12,64.56,-1.86,1.62,0,1.97,11.57,True
15.7,0.78,-4,8.56,36.33,149.58,-0.04,1,9.71,110.56,-3.58,2.37,1,2.07,,True
15.7,5.7,-1.62,9.32,21.57,143.58,-0.41,46,7.6,98.56,-9.6,2.91,1,1.62,11.6,False
11.7,5.1,0.26,10.04,17.34,170.58,-0.99,8,8.24,132.56,-2.24,2.85,1,1.63,,True
37.7,31.65,7.08,7.4,7.05,62.58,1.5,35,3.77,474.56,0.8,22.8,10,6.98,10.7,False
17.7,15.6,7.2,5.9,5.82,17.58,0.96,15,3.62,264.56,4.12,27.3,10,5.73,9.43,False
15.7,2.04,-0.18,14.64,17.73,164.58,-0.61,1,9.79,78.56,-3.2,1.56,1,1.49,,True
17.7,18.15,3.76,2.34,7.65,-72.42,0.82,320,5.61,124.56,5.38,16.8,10,6.73,8.39,False
37.7,28.2,11.72,0.98,1.23,2.58,-0.32,185,3.53,324.56,7.26,20.25,10,10.23,,True
37.7,35.25,8.12,0.34,3.21,-27.42,-0.2,325,3.4,434.56,0.12,30.6,10,7.53,9.69,False
37.7,21.15,9.78,0.5,8.61,47.58,0.1,300,4.59,494.56,6.88,21.75,10,8.93,9.43,False
27.7,38.7,9.84,8.64,4.83,137.58,-0.66,185,5.7,304.56,7.44,24,10,8.03,,True
37.7,42.6,7.08,2.74,11.19,287.58,-2.2,300,5.06,384.56,4.4,16.5,10,7.33,8.86,False
11.7,6.24,0.6,9.88,17.1,125.58,2.07,12,7.62,100.56,-1.84,2.07,1,2.04,,True
57.7,38.85,-1.48,1.26,10.35,272.58,-0.8,350,4.77,144.56,5.48,16.05,10,7.03,,False
15.7,4.02,0.3,11.84,19.17,137.58,-0.77,13,8.26,70.56,-7.56,0.33,1,1.81,10.78,True
11.7,5.82,1.16,8.8,19.02,149.58,-1.13,9,7.6,138.56,-10.14,1.11,1,2.15,11.16,True
15.7,5.52,-1.2,12.02,20.97,158.58,-0.9,58,8.34,152.56,-3.86,2.46,0,1.75,11.28,False
37.7,16.5,10.62,2.94,6.42,47.58,-0.75,115,3.19,104.56,1.88,21.3,10,8.68,,True
15.7,1.44,0.04,10.98,17.58,134.58,3.24,15,10.06,144.56,-4.66,1.41,1,1.98,11.28,False
11.7,5.04,-2.1,9.64,26.97,179.58,-0.83,29,7.61,118.56,-2.98,2.34,1,1.36,10.6,False
37.7,20.4,8.68,2.2,5.88,-72.42,-0.66,10,4.35,464.56,2.56,18,10,9.98,,True
11.7,5.16,-0.48,10.18,20.34,158.58,-0.18,43,8.55,138.56,-3.1,0.63,1,2.28,,False
7.7,1.71,-1.64,8.22,22.47,101.58,-0.02,6,11.13,80.56,-3.54,2.64,1,2.12,,True
17.7,15.15,5.42,7.32,10.98,77.58,0.98,255,6.43,414.56,3.9,22.05,10,6.83,8.63,False
11.7,4.29,-9.22,9.72,19.29,116.58,1.36,10,7.78,134.56,-3.48,1.14,1,1.83,10.26,False
15.7,4.56,0.7,9.28,18.87,152.58,0.44,51,8.21,154.56,-1.9,2.61,1,2.14,,True
15.7,5.58,0.78,9.94,19.14,137.58,-0.72,32,7.79,116.56,-3.56,1.38,1,1.23,,False
15.7,5.04,-2.36,11.96,31.56,152.58,0.67,41,8.26,142.56,-5.74,2.82,1,1.29,,False
37.7,16.35,10.8,-0.9,4.08,122.58,2.28,325,3.67,304.56,8.14,21,10,9.83,,False
37.7,21.3,9.72,0.86,2.37,362.58,-2.31,55,3.61,164.56,6.44,24.9,10,7.28,9.61,False
17.7,17.25,5.08,-0.52,3.09,107.58,0.68,170,2.88,444.56,4.44,24.9,10,9.98,,True
7.7,3.99,-1.9,8.74,20.16,92.58,0.15,29,7.58,140.56,-3.46,2.07,1,1.95,,False
17.7,34.5,8.36,4.4,6,-87.42,-0.84,55,3.59,194.56,4.2,16.2,10,7.28,9.53,False
15.7,4.59,1.14,8.44,15.9,155.58,-1.01,9,9.59,94.56,-2,2.91,1,2.17,,True
15.7,5.82,-1.54,10.78,17.49,149.58,-0.9,5,9.77,104.56,-3.86,1.83,1,2.1,12.24,True
37.7,24.3,3.44,4.3,11.37,392.58,-0.46,110,4.53,364.56,3.9,22.05,10,6.23,9.52,False
17.7,15.6,11.18,-1.6,14.46,-42.42,-0.09,135,2.62,114.56,8.22,26.55,10,8.48,10.81,True
11.7,4.83,0.64,8.92,18.3,143.58,-0.59,26,8.74,88.56,-2.58,0.84,1,1.77,10.96,False
11.7,4.65,1.46,9.28,17.61,140.58,-0.61,1,7.4,84.56,-2.16,2.07,1,1.95,,True
15.7,5.31,1.04,10.48,20.1,173.58,-0.78,6,9.16,118.56,-4.2,1.68,1,1.71,,True
15.7,4.35,-3.04,13.1,19.26,155.58,-0.11,17,8.87,108.56,-4.24,0.15,1,1.49,,False
57.7,37.2,4.84,2.78,8.58,362.58,-2.25,330,5.3,534.56,-0.78,16.8,10,8.03,,False
11.7,4.59,-0.02,10.26,17.91,176.58,-0.55,22,9.08,140.56,-13.48,1.62,1,1.36,,False
11.7,4.98,-0.5,16.82,17.97,59.58,1.05,35,8.42,132.56,-1.92,2.85,1,2.18,,True
57.7,24.75,1.9,0.78,10.83,407.58,-2.37,135,4.8,334.56,1.64,26.25,10,6.93,,False
37.7,22.2,11.46,2.72,2.73,77.58,-0.75,245,3.2,174.56,5.32,25.05,10,9.58,,True
17.7,24.9,8.78,-0.02,5.94,92.58,-0.56,215,3.26,124.56,3.86,15.45,10,8.33,,False
17.7,36.45,9.7,2.16,4.17,77.58,-1.39,115,3.37,314.56,0.06,23.85,10,6.98,9.5,False
17.7,31.2,7.22,-0.52,5.79,17.58,0.8,195,3.13,234.56,3.82,19.35,10,9.18,11.14,True
11.7,2.16,-5.82,12.24,29.1,149.58,3.55,15,8.2,136.56,-6.02,0.99,1,2.21,,False
57.7,28.65,2.78,2.98,9.18,317.58,-1.81,85,5.18,454.56,1.92,22.2,10,6.33,,False
11.7,3.45,0.7,12.34,17.19,140.58,-0.08,13,7.71,104.56,-3,2.01,1,1.39,9.81,False
17.7,27.3,7.58,1.22,3.9,-27.42,-1.55,50,6.58,454.56,2.9,30.45,10,6.78,9.62,False
15.7,0.75,-0.24,9.48,19.65,131.58,0.29,5,8.92,116.56,-6.52,2.4,1,1.63,10.35,False
37.7,18.3,9.48,2.56,4.02,-57.42,-0.41,135,2.39,344.56,6.74,22.35,10,9.48,10.85,True
15.7,4.83,-0.34,9.22,17.79,164.58,-1.12,22,8.16,96.56,-2.26,1.29,1,1.76,,True
7.7,4.14,-2.2,11.24,18.33,71.58,-0.38,15,7.36,140.56,-9.12,2.58,1,1.95,,True
11.7,5.34,-2.34,10.36,19.89,104.58,-0.58,26,9.59,144.56,-6.5,1.02,1,1.98,,False
11.7,5.52,-7.34,9.72,19.71,152.58,-0.77,39,8.22,132.56,-4.32,0.54,1,1.79,10.34,False
17.7,21,9.92,4.26,13.59,122.58,-0.09,220,2.9,334.56,5.5,24.15,10,7.63,,False
37.7,27.45,9.46,0.78,4.29,-57.42,-0.43,285,2.76,434.56,7.46,26.25,10,8.33,9.78,False
57.7,15.6,9.4,0.66,13.53,407.58,-1.25,145,4.41,494.56,5.62,20.55,10,8.58,,False
37.7,18,-1.48,2.2,8.88,452.58,-2.13,110,5.02,464.56,2.88,16.95,10,7.58,9.92,False
11.7,5.04,-1.66,12.96,16.98,173.58,-0.55,61,7.76,114.56,-4.1,1.62,1,1.96,,False
11.7,2.07,1.42,8.66,17.04,113.58,0.28,39,7.52,118.56,-3.58,0.87,0,2.28,,True
15.7,3.36,-4.08,10.92,17.28,155.58,-0.12,26,8.69,92.56,-3.9,2.07,0,1.72,,True
37.7,29.1,7,2.38,10.5,-177.42,0.65,10,4.81,454.56,3.72,17.55,10,7.28,,False
11.7,4.05,-0.24,10.98,17.07,152.58,-0.7,41,7.82,108.56,-5.48,0.21,1,1.92,,False
17.7,22.2,12.52,0.96,-0.09,2.58,-0.24,265,3.13,104.56,7.9,19.65,10,10.68,,True
37.7,33.6,9.14,0.92,6.24,-87.42,-0.67,190,2.97,324.56,7.42,17.1,10,9.48,,True
37.7,19.5,9.22,2.06,6.33,197.58,-0.98,275,5.64,334.56,4.62,15.9,10,8.08,,False
11.7,5.4,0.04,12.12,16.77,152.58,-0.79,21,7.27,82.56,-7.62,0.57,0,2.23,11.52,True
27.7,38.85,9.74,6.04,6.66,137.58,-0.55,390,2.79,454.56,5.4,16.95,10,9.78,,False
15.7,4.05,1.24,11.26,18.66,170.58,-1.07,3,7.98,128.56,-7.38,2.61,1,2.2,,True
11.7,4.14,1.38,14.26,23.73,71.58,1.89,9,8.1,134.56,-7.82,2.76,1,1.85,,False
37.7,15.75,8.06,0.16,2.52,62.58,-0.37,255,3.28,134.56,6.64,25.8,10,6.78,10.63,False
57.7,31.35,6.48,0.16,6.99,167.58,-1.42,280,3.83,194.56,5.74,23.85,10,8.08,12.1,True
57.7,36.75,5.1,1.02,4.89,422.58,-2.38,290,5.48,394.56,5.4,22.5,10,7.43,,False
17.7,19.35,9.52,-1.92,1.23,-27.42,-0.77,100,2.91,404.56,4.84,29.55,10,9.23,12.84,True
57.7,18.9,4.76,1.68,3.75,227.58,-2.01,85,4.85,364.56,5.6,23.85,10,7.88,10.77,False
15.7,3.96,0.58,17.82,16.92,143.58,1.76,48,7.49,130.56,-2.78,0.12,1,2.09,10.93,False
37.7,26.1,9.72,2.72,8.25,242.58,-1.65,35,5.18,384.56,5.94,23.25,10,7.43,9.68,False
11.7,4.95,1.14,9.1,20.82,173.58,-0.35,37,7.5,82.56,-4.56,2.52,1,1.72,12.18,True
17.7,18.6,10.44,3.86,9.69,-147.42,0.74,225,4.39,144.56,6.34,25.8,10,6.73,9.94,False
37.7,29.25,10.82,0.76,3.45,332.58,-0.45,360,3.55,124.56,7.56,17.55,10,8.78,,True
37.7,31.95,-0.38,0.1,7.77,362.58,-1.68,330,4.7,444.56,7.04,29.25,10,7.63,,True
37.7,23.4,10.4,2.52,4.92,-102.42,0.32,295,2.67,254.56,7.58,28.8,10,7.43,10.43,False
